,t,a,v_pro,v_stop,v_anti,t_anti
MG0106,0.268131638121,0.722848036338,5.57506598033,9.94456131988,11.1842726083,0.17954438364
MG0112,0.21974910401,0.843808337402,7.02904149064,11.3095784134,8.55127639895,0.138905273708
MG0126,0.171343416197,1.4911881841,10.2315037536,12.9167752257,16.2774715222,0.168714113441
MG0135,0.203467245584,1.3882462089,9.63318505769,12.6155984628,12.6020535764,0.109290965737
MG0137,0.161361002413,1.30251913804,8.18438558988,10.4216661381,13.7536353591,0.142937425967
MG0138,0.0001,2.24144235949,6.8978974926,6.40009721676,6.99449542986,0.07395295691
MG0152,0.192449201415,1.31661522491,9.56856078549,12.9867113316,14.5528265358,0.135962334883
MG0158,0.188618720782,0.874898826956,6.08516795721,9.43116210858,13.7359074951,0.175712552675
MG0164,0.213982817205,1.33400994555,7.69642558312,10.0098134397,11.3549753294,0.140502369871
MG0168,0.198123813346,1.16364249722,7.75551287499,9.53468562642,15.4251262944,0.194434546829
MG0172,0.205666808475,1.68052877026,6.96424084991,10.8596792818,10.9735371091,0.165347478685
MG0185,0.149587551925,1.40422998209,5.22862802102,7.59427290821,6.41608498179,0.158419018058
MG0187,0.231489901727,0.944851738707,7.69067456344,10.5093874392,13.8540203559,0.159410569694
MG0202,0.212794063349,1.1745143279,8.18431105421,9.23138430345,14.7534083481,0.160047085481
MG0207,0.212830120701,1.54428939884,6.46237270794,8.98501830409,9.08284665955,0.158953358354
MG0213,0.18621349323,1.42446629962,5.67479824652,7.88536730555,6.68741760428,0.156348567538
MG0218,0.203703806122,1.62398519542,6.93043968745,12.3532435273,10.4117486677,0.152279592401
MG0220,0.204520255362,1.58184865363,9.32710429534,12.9580622543,13.5536100634,0.133466553621
MG0222,0.241840681027,0.987199306736,7.3423521588,10.4078857305,11.5270140237,0.127075268686
MG0228,0.167706935392,1.34696925561,8.8618669867,9.35076409145,12.0972965995,0.115412273537
MG0230,0.183709949464,1.1117544024,8.17382197834,9.73117542062,7.48440418509,0.114460742644
MG0231,0.19113336055,1.29883294605,8.02302241695,10.643338143,14.6761544469,0.156083283592
MG0239,0.270224124849,1.13812199901,5.11376662008,12.4600931064,7.95850672658,0.118191487103
MG0242,0.148871978775,1.72602204573,5.20455501831,8.30166234388,7.85228638803,0.154630652386
